Function,Blocks,Edges,CyclomaticComplexity
_start,1,1,2
deregister_tm_clones,4,4,2
register_tm_clones,4,4,2
frame_dummy,1,1,2
cause<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
{closure#0}<()>,1,1,2
call_once<std::rt::lang_start::{closure_env#0}<()>,_()>,1,1,2
new<alloc::string::String>,3,6,5
description<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
source<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
provide<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
type_id<alloc::boxed::convert::{impl#17}::from::StringError>,1,0,1
spec_advance_by<std::env::Args>,10,17,9
drop_in_place<alloc::boxed::convert::{impl#17}::from::StringError>,3,4,3
drop_in_place<std::env::Args>,6,9,5
drop_in_place<alloc::string::String>,3,4,3
drop_in_place<std::ffi::os_str::OsString>,3,4,3
exit_code_for,5,5,2
main,108,202,96
fmt,1,1,2
main,1,1,2
i2c_write_u8,4,6,4
read_temperature,37,71,36
new,48,93,47
fmt,6,7,3
from,1,0,1
fmt<u8>,1,1,2
fmt<std::io::error::Error>,1,1,2
drop_in_place<std::io::error::Error>,8,11,5
drop_in_place<bme280_bare_bones::Bme280>,3,4,3
drop_in_place<bme280_bare_bones::LockGuard>,8,14,8
rust_panic,1,4,5
panic_handler,1,1,2
from_str,82,158,78
type_id<alloc::string::String>,1,0,1
type_id<&str>,1,0,1
print_raw_with_column,31,61,32
trace_fn,2,1,1
callback,49,90,43
decompress_zlib,1,3,4
locate_build_id,33,58,27
load_dwarf_package,41,79,40
new_debug,102,195,95
search_symtab,15,23,10
parse,109,182,75
section,41,80,41
build_id,29,46,19
mmap,32,60,30
allocate,15,27,14
new,359,654,297
name,11,16,7
buffer_capacity_required,18,32,16
small_probe_read<&std::fs::File>,10,18,10
default_read_to_end<&std::fs::File>,37,60,25
write_all_vectored<std::sys::stdio::unix::Stderr>,29,46,19
write_all<std::sys::stdio::unix::Stderr>,12,20,10
write_fmt<std::io::cursor::Cursor<&mut_[u8]>>,12,19,9
write_fmt<std::sys::stdio::unix::Stderr>,12,19,9
write_fmt<alloc::vec::Vec<u8,_alloc::alloc::Global>>,12,19,9
new<&str>,10,22,14
write_vectored<alloc::alloc::Global>,17,26,11
is_write_vectored<alloc::alloc::Global>,1,0,1
write_all_vectored<alloc::alloc::Global>,17,26,11
flush<alloc::alloc::Global>,1,0,1
write<alloc::alloc::Global>,3,5,4
write_all<alloc::alloc::Global>,3,5,4
try_set_output_capture,14,21,9
print_to_buffer_if_capture_used,30,54,26
write_all_cold<std::io::stdio::StdoutRaw>,19,32,15
flush_buf<std::io::stdio::StdoutRaw>,22,35,15
handle_rt_panic<isize>,1,4,5
lang_start_internal,78,156,80
{closure#1},1,4,5
cleanup,3,3,2
current_dir,22,41,21
current_exe,21,37,18
args,1,1,2
args_os,25,42,19
unique_thread_exit,6,9,5
{closure#1},1,2,3
{closure#0},1,2,3
register,9,17,10
enable,11,23,14
run,12,19,9
destroy<core::cell::Cell<core::option::Option<alloc::sync::Arc<std::sync::poison::mutex::Mutex<alloc::vec::Vec<u8,_alloc::alloc::Global>>,_alloc::alloc::Global>>>>,4,6,4
canonicalize,8,18,12
{closure#0},1,1,2
open_c,34,55,23
readlink,21,39,20
try_statx,18,32,16
metadata,11,22,13
decode_error_kind,41,41,2
{closure#0},14,26,14
abort_internal,1,1,2
set_current_info,136,253,119
drop_handler,52,94,44
make_handler,26,54,30
signal_handler,56,101,47
exit,1,2,3
init_wrapper,1,0,1
call,34,63,31
lock_contended,19,33,16
read_contended,25,42,19
wake_writer_or_readers,14,23,11
slow_path,13,24,13
run_with_cstr_allocating<std::path::PathBuf>,9,13,6
run_with_cstr_allocating<core::option::Option<std::ffi::os_str::OsString>>,9,14,7
run_with_cstr_allocating<std::sys::fs::unix::FileAttr>,9,13,6
run_with_cstr_allocating<std::sys::fs::unix::File>,9,13,6
{closure#1},14,23,11
{closure#0},1,1,2
{closure#0},32,55,25
output_filename,13,24,13
lock,5,7,4
parse_next_component_back,26,43,19
as_path,51,87,38
is_dir,10,16,8
is_file,10,16,8
{closure#0}<std::sync::once_lock::{impl#0}::initialize::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::cleanup::{closure_env#0}>,_!>>,3,3,2
{closure#0}<std::sync::once_lock::{impl#0}::initialize::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::stdout::{closure_env#0}>,_!>>,5,9,6
{closure#0}<std::rt::cleanup::{closure_env#0}>,26,44,20
lock<alloc::vec::Vec<u8,_alloc::alloc::Global>>,6,9,5
initialize<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::cleanup::{closure_env#0}>,_!>,3,3,2
initialize<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::sync::once_lock::{impl#0}::get_or_init::{closure_env#0}<std::sync::reentrant_lock::ReentrantLock<core::cell::RefCell<std::io::buffered::linewriter::LineWriter<std::io::stdio::StdoutRaw>>>,_std::io::stdio::stdout::{closure_env#0}>,_!>,3,3,2
default_alloc_error_hook,5,10,7
rust_oom,1,1,2
{closure#0},3,5,4
